DATE DELIVERED,VERIS PATH,RELATIONSHIP TYPE,TECHNIQUE ID
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1114.003
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.001
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.002
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.003
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.004
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.005
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.006
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.007
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.008
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.009
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.010
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.011
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.012
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.013
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.014
23/02/16,attribute.integrity.variety.Alter behavior,related-to,T1546.015
23/02/16,attribute.integrity.variety.Created account,related-to,T1136
23/02/16,attribute.integrity.variety.Created account,related-to,T1136.001
23/02/16,attribute.integrity.variety.Created account,related-to,T1136.002
23/02/16,attribute.integrity.variety.Created account,related-to,T1136.003
23/02/16,attribute.integrity.variety.Defacement,related-to,T1491
23/02/16,attribute.integrity.variety.Defacement,related-to,T1491.001
23/02/16,attribute.integrity.variety.Defacement,related-to,T1491.002
23/02/16,attribute.integrity.variety.Log tampering,related-to,T1070.001
23/02/16,attribute.integrity.variety.Log tampering,related-to,T1070.002
23/02/16,attribute.integrity.variety.Misrepresentation,related-to,T1534
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1037
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1037.001
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1037.002
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1037.003
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1037.004
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1037.005
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1484
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1484.001
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1484.002
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.001
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.002
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.003
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.004
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.005
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.006
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.007
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.008
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.009
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.010
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.011
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.012
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1547.013
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1556
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1556.001
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1556.002
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1556.003
23/02/16,attribute.integrity.variety.Modify configuration,related-to,T1556.004
23/02/16,attribute.integrity.variety.Modify data,related-to,T1565
23/02/16,attribute.integrity.variety.Modify data,related-to,T1565.001
23/02/16,attribute.integrity.variety.Modify data,related-to,T1565.002
23/02/16,attribute.integrity.variety.Modify data,related-to,T1565.003
23/02/16,attribute.integrity.variety.Modify privileges,related-to,T1098
23/02/16,attribute.integrity.variety.Modify privileges,related-to,T1098.001
23/02/16,attribute.integrity.variety.Modify privileges,related-to,T1098.002
23/02/16,attribute.integrity.variety.Modify privileges,related-to,T1098.003
23/02/16,attribute.integrity.variety.Modify privileges,related-to,T1098.004
23/02/16,attribute.integrity.variety.Modify privileges,related-to,T1547.014
23/02/16,attribute.integrity.variety.Modify privileges,related-to,T1556
23/02/16,attribute.integrity.variety.Modify privileges,related-to,T1556.001
23/02/16,attribute.integrity.variety.Modify privileges,related-to,T1556.002
23/02/16,attribute.integrity.variety.Modify privileges,related-to,T1556.003
23/02/16,attribute.integrity.variety.Modify privileges,related-to,T1556.004
